name,ra,dec,distance_pc,ra_ssz,dec_ssz,distance_ssz_pc,xi,D_ssz,stretch_factor,phot_g_mean_mag,parallax
Star-0,217.39232147200883,-62.67607511676666,1.3019705311704333,217.39232147200883,-62.67607511676666,2.6039410623408665,1.0,0.5,2.0,8.984749,768.0665391873573
Star-1,269.4485025254384,4.739420051112412,1.828233981355542,269.4485025254384,4.739420051112412,3.656467962711084,1.0,0.5,2.0,8.1939745,546.975939730948
Star-2,164.10319030755974,7.002726940984864,2.408597252748958,164.10319030755974,7.002726940984864,4.817194505497916,1.0,0.5,2.0,11.038391,415.17941567802137
Star-3,165.83095967577933,35.948653032660104,2.5461298549469777,165.83095967577933,35.948653032660104,5.0922597098939555,1.0,0.5,2.0,6.551172,392.75294543876464
Star-4,101.28662552099247,-16.720932526023173,2.6703012063129745,101.28662552099247,-16.720932526023173,5.340602412625949,1.0,0.5,2.0,8.524133,374.489588528761
Star-5,24.771674208211856,-17.947682860008488,2.674910296032687,24.771674208211856,-17.947682860008488,5.349820592065374,1.0,0.5,2.0,10.817838,373.8443122683992
Star-6,24.771554293454543,-17.948299887129313,2.7195203918735054,24.771554293454543,-17.948299887129313,5.439040783747011,1.0,0.5,2.0,10.507542,367.71189618147696
Star-7,282.4587890175222,-23.83709744872712,2.9759548649868903,282.4587890175222,-23.83709744872712,5.951909729973781,1.0,0.5,2.0,9.126414,336.0266016683708
Star-8,355.4800152581559,44.17037570074776,3.159745481768476,355.4800152581559,44.17037570074776,6.319490963536952,1.0,0.5,2.0,10.379277,316.4811867822692
Star-9,53.22829341517546,-9.458168216292322,3.219810408490127,53.22829341517546,-9.458168216292322,6.439620816980254,1.0,0.5,2.0,3.465752,310.5772928005821
Star-10,346.5039166796005,-35.8471642082214,3.2880095551861235,346.5039166796005,-35.8471642082214,6.576019110372247,1.0,0.5,2.0,6.5220323,304.1353692001036
Star-11,176.93768799004127,0.7991199702364985,3.374897355164646,176.93768799004127,0.7991199702364985,6.749794710329292,1.0,0.5,2.0,9.601,296.3053079139394
Star-12,316.753662752556,38.75607277205679,3.4964380683468383,316.753662752556,38.75607277205679,6.992876136693677,1.0,0.5,2.0,5.4506445,286.0053518616485
