name,M_solar,M_kg,r_m,r_km,r_AU,r_ly,r_pc,r_s_m,r_s_km,x_dimensionless,horizon_ratio,r_ph_m,r_isco_m,inside_photon_sphere,inside_isco,Xi_segment_density,D_ssz_time_dilation,D_gr_time_dilation,stretch_factor,R_ssz_m,R_ssz_km,v_orbital_m_s,v_escape_m_s,v_orbital_ssz_m_s,v_escape_ssz_m_s,v_orbital_km_s,v_escape_km_s,v_orbital_ssz_km_s,v_escape_ssz_km_s,v_orbital_over_c,v_escape_over_c,tau_over_t,z_gr_redshift,z_ssz_redshift,T_orbital_seconds,T_orbital_years,T_orbital_ssz_seconds,T_orbital_ssz_years,g_m_s2,g_earth_g,phi_potential_J_kg,export_timestamp,phi_golden_ratio
Sun,1.0000000000e+00,1.9890000000e+30,1.4959473600e+11,1.4959473600e+08,9.9996481283e-01,1.5811725610e-05,4.8480000000e-06,2.9541265551e+03,2.9541265551e+00,5.0639244194e+07,5.0639244194e+07,4.4311898326e+03,8.8623796652e+03,False,False,1.0000000000e+00,0,9.9999999013e-01,2.0000000000e+00,2.9918947200e+11,2.9918947200e+08,2.9789423428e+04,4.2128606627e+04,4.2128606627e+04,5.9578846856e+04,2.9789423428e+01,4.2128606627e+01,4.2128606627e+01,5.9578846856e+01,9.9366820722e-05,1.4052590551e-04,0,9.8737651388e-09,inf,3.1552522309e+07,9.9983909767e-01,6.3105044617e+07,1.9996781953e+00,5.9320920768e-03,6.0469847878e-04,-8.8740974816e+08,2025-11-22T13:30:01.824463,1.6180339887e+00
Earth-Sun Distance,1.0000000000e+00,1.9890000000e+30,1.4960000000e+11,1.4960000000e+08,1.0000000000e+00,1.5812282000e-05,4.8481705934e-06,2.9541265551e+03,2.9541265551e+00,5.0641026108e+07,5.0641026108e+07,4.4311898326e+03,8.8623796652e+03,False,False,1.0000000000e+00,0,9.9999999013e-01,2.0000000000e+00,2.9920000000e+11,2.9920000000e+08,2.9788899321e+04,4.2127865427e+04,4.2127865427e+04,5.9577798641e+04,2.9788899321e+01,4.2127865427e+01,4.2127865427e+01,5.9577798641e+01,9.9365072488e-05,1.4052343314e-04,0,9.8734176390e-09,inf,3.1554187748e+07,9.9989187225e-01,6.3108375495e+07,1.9997837445e+00,5.9316746172e-03,6.0465592428e-04,-8.8737852273e+08,2025-11-22T13:30:01.824463,1.6180339887e+00
Jupiter-Sun Distance,1.0000000000e+00,1.9890000000e+30,7.7800000000e+11,7.7800000000e+08,5.2005347594e+00,8.2232322165e-05,2.5213079690e-05,2.9541265551e+03,2.9541265551e+00,2.6336041652e+08,2.6336041652e+08,4.4311898326e+03,8.8623796652e+03,False,False,1.0000000000e+00,0,9.9999999810e-01,2.0000000000e+00,1.5560000000e+12,1.5560000000e+09,1.3062624866e+04,1.8473341245e+04,1.8473341245e+04,2.6125249731e+04,1.3062624866e+01,1.8473341245e+01,1.8473341245e+01,2.6125249731e+01,4.3572226442e-05,6.1620433577e-05,0,1.8985391037e-09,inf,3.7422173715e+08,1.1858371269e+01,7.4844347430e+08,2.3716742538e+01,2.1932155319e-04,2.2356937124e-05,-1.7063216838e+08,2025-11-22T13:30:01.824463,1.6180339887e+00
Proxima Centauri,1.2200000000e-01,2.4265800000e+29,4.0144957000e+16,4.0144957000e+13,2.6834864305e+05,4.2432044181e+00,1.3010000000e+00,3.6040343972e+02,3.6040343972e-01,1.1138893966e+14,1.1138893966e+14,5.4060515958e+02,1.0812103192e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,8.0289914000e+16,8.0289914000e+13,2.0085593554e+01,2.8405318812e+01,2.8405318812e+01,4.0171187108e+01,2.0085593554e-02,2.8405318812e-02,2.8405318812e-02,4.0171187108e-02,6.6998328403e-08,9.4749944685e-08,0,4.6629367034e-15,inf,1.2558165299e+16,3.9794424478e+08,2.5116330598e+16,7.9588848956e+08,1.0049358589e-14,1.0243994484e-15,-4.0343106842e+02,2025-11-22T13:30:01.824463,1.6180339887e+00
Sirius A,2.0630000000e+00,4.1033070000e+30,8.1462480000e+16,8.1462480000e+13,5.4453529412e+05,8.6103456294e+00,2.6400000000e+00,6.0943630831e+03,6.0943630831e+00,1.3366857027e+13,1.3366857027e+13,9.1415446246e+03,1.8283089249e+04,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.6292496000e+17,1.6292496000e+14,5.7981714572e+01,8.1998527117e+01,8.1998527117e+01,1.1596342914e+02,5.7981714572e-02,8.1998527117e-02,8.1998527117e-02,1.1596342914e-01,1.9340618159e-07,2.7351764505e-07,0,3.7525538232e-14,inf,8.8276771600e+15,2.7973220904e+08,1.7655354320e+16,5.5946441808e+08,4.1269050791e-14,4.2068349430e-15,-3.3618792247e+03,2025-11-22T13:30:01.824963,1.6180339887e+00
Betelgeuse,1.6500000000e+01,3.2818500000e+31,5.1839760000e+18,5.1839760000e+15,3.4652245989e+07,5.4793108551e+02,1.6800000000e+02,4.8743088158e+04,4.8743088158e+01,1.0635304811e+14,1.0635304811e+14,7.3114632238e+04,1.4622926448e+05,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.0367952000e+19,1.0367952000e+16,2.0555627282e+01,2.9070046885e+01,2.9070046885e+01,4.1111254563e+01,2.0555627282e-02,2.9070046885e-02,2.9070046885e-02,4.1111254563e-02,6.8566192155e-08,9.6967238865e-08,0,4.8849813084e-15,inf,1.5845725061e+18,5.0212072721e+10,3.1691450122e+18,1.0042414544e+11,8.1507671514e-17,8.3086311431e-18,-4.2253381295e+02,2025-11-22T13:30:01.824963,1.6180339887e+00
Sgr A* (at 1 pc),4.3000000000e+06,8.5527000000e+36,3.0857000000e+16,3.0857000000e+13,2.0626336898e+05,3.2614945566e+00,1.0000000000e+00,1.2702744187e+10,1.2702744187e+07,2.4291601520e+06,2.4291601520e+06,1.9054116280e+10,3.8108232560e+10,False,False,1.0000000000e+00,0,9.9999979417e-01,2.0000000000e+00,6.1714000000e+16,6.1714000000e+13,1.3601212657e+05,1.9235019404e+05,1.9235019404e+05,2.7202425314e+05,1.3601212657e+02,1.9235019404e+02,1.9235019404e+02,2.7202425314e+02,4.5368761935e-04,6.4161118437e-04,0,2.0583251947e-07,inf,1.4254629636e+12,4.5170195566e+04,2.8509259272e+12,9.0340391131e+04,5.9951708118e-07,6.1112852312e-08,-1.8499298574e+10,2025-11-22T13:30:01.824963,1.6180339887e+00
M87* (at 10 pc),6.5000000000e+09,1.2928500000e+40,3.0857000000e+17,3.0857000000e+14,2.0626336898e+06,3.2614945566e+01,1.0000000000e+01,1.9201822608e+13,1.9201822608e+10,1.6069828698e+04,1.6069828698e+04,2.8802733912e+13,5.7605467824e+13,False,False,1.0000000000e+00,0,9.9996888531e-01,2.0000000000e+00,6.1714000000e+17,6.1714000000e+14,1.6722456753e+06,2.3649125136e+06,2.3649125136e+06,3.3444913505e+06,1.6722456753e+03,2.3649125136e+03,2.3649125136e+03,3.3444913505e+03,5.5780111562e-03,7.8884990281e-03,0,3.1115660674e-05,inf,1.1594005109e+12,3.6739185201e+04,2.3188010218e+12,7.3478370402e+04,9.0624675063e-06,9.2379893030e-07,-2.7964055984e+12,2025-11-22T13:30:01.824963,1.6180339887e+00
