source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,distance_pc,distance_ly,mass_msun,xi,D_ssz
418551920284673408,10.12724197930297,56.53718879378639,14.090976249252234,49.12564571845064,-31.595374311196693,1.9425238,1.1434835,,70.9674036994468,231.46444520996772,6.551136627430698,1.0,0.5
4357027756659697664,243.58621066034064,-3.694967708333353,20.411292350652413,-45.34001940987892,-144.43272215287442,2.0164251,1.5633104,,48.99248821782892,159.79193987174207,5.198895953319834,1.0,0.5
4993479684438433792,6.57215550145885,-42.30782032569077,39.91825815729799,176.2682926212513,-398.87213472266046,2.0899775,1.2694821,,25.051193267489218,81.70596991351213,3.475740793756482,1.0,0.5
4038055447778237312,274.4060904518451,-36.76242931758906,23.885852068095137,-131.80407046542277,-166.30893037257962,2.1164951,1.8272674,,41.86578720948047,136.54777693095312,4.628742182411725,1.0,0.5
1279798794197267072,221.24648617076684,27.074315757773466,13.82667260913517,-50.81825554241812,21.02352084436887,2.1833525,1.1840065,,72.32398048821292,235.88900180113572,6.215734736125668,1.0,0.5
160886283751041408,74.24843702624405,33.16601472318802,7.249065034494049,3.8169754472223425,-17.786274545345467,2.1975422,1.4451852,,137.94882446792607,449.92836793160893,8.956116865827916,1.0,0.5
4302054339959905920,296.56498571046956,10.613252703828636,5.589928355256642,16.232737511703284,-1.354232773419788,2.223692,1.4782449,,178.893169365869,583.4708054769436,10.31885809680002,1.0,0.5
1222646935698492160,233.67254376294218,26.714295174747274,42.24080076261629,118.92724128982546,-87.71096348146563,2.2693703,0.529583,,23.673793629523573,77.2134983503089,3.210042182359711,1.0,0.5
5111187420714898304,59.507642022011794,-13.509012610930261,17.00162879163835,62.22700221870858,-112.00607671028064,2.2707934,1.689486,,58.817893994475085,191.83809033662016,5.397596894374373,1.0,0.5
1563590579347125632,200.98237336533253,54.92525907860076,40.213284471127004,122.46748022957269,-22.68188642875364,2.282647,0.5343387,,24.867404221060244,81.10653091124125,3.29003572883417,1.0,0.5
4049506483413484672,275.24868220695066,-29.82822386700995,7.846769491115783,33.211995167893946,-27.36096961705406,2.296982,1.4261992,,127.4409807924412,415.6564053133945,8.338596684126315,1.0,0.5
6227443304915069056,226.0172005141403,-25.2821590562471,12.538654525627177,-73.48399761123272,-42.632144437537974,2.3034124,1.9100549,,79.75337369381589,260.1204135048021,6.368513054903002,1.0,0.5
804753180515722624,155.58176101601168,41.49966386040507,17.798718499448466,-73.74880343645458,28.259324999144575,2.32451,1.645093,,56.18382020205485,183.246900618214,5.184310419465369,1.0,0.5
4429785739602747392,236.0675744297602,6.4258326669088035,43.94497411580315,133.92233920144864,45.55042108403326,2.3253543,1.3348399,,22.755730777422116,74.21918127440887,3.0924101982664287,1.0,0.5
